time,Fx,Fy,Fz,Mx,My,Mz
0.0,563301.0,-11202.0,505640.0,-121390.0,74398629.0,-16495.0
0.2,465497.664,-10244.9183733,459556.887,-254166.03422809998,81489061.0,104425.8
0.4,350301.039,-8807.7349657,393920.16,-388237.7789636,85538669.0,222049.0
0.6,227287.02,-6947.870143,315851.9,-517225.28522859997,86425609.0,324351.1
0.8,106357.5,-4742.296951599999,232387.3,-634066.7776537001,84179999.0,400885.1
1.0,-3079.8,-2285.007565,150006.5,-731568.98944,78976829.0,443949.223
1.2,-92874.9,317.640932,74136.0,-802912.98678,71121129.0,449413.223
1.4,-156749.0,2950.33734014,8969.0,-842382.9935793,61026129.0,417218.0
1.6,-190830.0,5494.291697199999,-42703.0,-845809.9801314,49190369.0,351272.0
1.8,-193927.0,7832.306055999999,-79440.5,-811208.977016,36171459.0,258897.0
2.0,-167625.0,9853.279295999999,-101020.9,-739010.9826900001,22552589.0,149947.223
2.2,-116118.0,11460.002400000001,-108237.7,-632186.98535,8921429.0,35547.623
2.4,-45794.0,12573.1910429,-102600.0,-496150.9769730001,-4161271.0,-73209.0
2.6,35357.0,13133.113748,-86100.0,-338415.982617,-16182171.0,-166650.0
2.8,118565.0,13106.8920474,-60928.9,-168098.9836079,-26696671.0,-237390.0
3.0,195135.0,12489.1879574,-29265.0,4811.011725,-35342371.0,-281110.0
3.2,257317.39,11298.474772,6895.0,170180.01216,-41847371.0,-296822.777
3.4,298989.0,9585.1325617,45910.0,318570.02329599997,-46046371.0,-286640.0
3.6,316241.0,7424.020262,86570.0,441880.02504,-47867371.0,-255412.777
3.8,307665.0,4911.983827,128100.0,534050.01654,-47345371.0,-209712.777
4.0,274441.0,2171.597098,170100.0,591470.02558,-44616371.0,-157062.777
4.2,220152.0,-669.970847,212410.0,613100.0253900001,-39921371.0,-105052.777
4.4,150496.0,-3476.417108,255030.0,600760.0328799998,-33589371.0,-60880.777
4.6,72661.0,-6105.758645,297910.0,558410.05452,-26040371.0,-29667.777000000002
4.8,-5389.0,-8446.997099,340720.0,492000.04079,-17764371.0,-16202.777000000002
5.0,-75849.0,-10383.949862,382790.0,408480.052,-9295371.0,-22915.554000000004
5.2,-131909.0,-11836.553000999998,422920.0,315330.04850000003,-1187371.0,-50055.554000000004
5.4,-168569.0,-12726.609993,459379.0,219810.04845999996,6024629.0,-95125.554
5.6,-183069.0,-13017.555287000001,489839.2,128410.06598999997,11865429.0,-152635.554
5.8,-175149.0,-12700.544546000001,511375.0,46460.073459999985,15945629.0,-214675.554
6.0,-146949.0,-11794.005250000002,520480.0,-22247.928099999997,17976129.0,-271848.3308
6.2,-102869.0,-10364.509647,512290.0,-75139.91354000001,17725929.0,-313998.3308
6.4,-49326.0,-8488.521265,481282.0,-111089.90817000001,15052629.0,-331928.3308
6.6,5802.0,-6273.815455000001,422650.0,-130309.90424000006,9951629.0,-318598.3308
6.8,53947.6,-3847.829566,332760.0,-134069.90020000003,2555629.0,-270835.1308
7.0,86754.0,-1347.199836,209840.0,-124349.91292999999,-6858371.0,-190274.3308
7.2,97211.0,1100.1205930000003,54710.0,-103879.89775999996,-17860371.0,-82424.3308
7.4,80631.0,3383.415343,-128750.0,-75959.89695999993,-29867371.0,43491.669200000004
7.6,35351.0,5396.703069,-333690.0,-43969.89332000003,-42160371.0,175438.8922
7.8,-36959.0,7061.875738000001,-550370.0,-11169.898270000005,-53922371.0,300951.6692
8.0,-131389.0,8299.915977,-766500.0,19020.100930000015,-64259071.0,408581.6692
8.2,-239959.0,9062.137312,-967590.0,43280.09654,-72217971.0,489011.6692
8.4,-351919.0,9335.951316,-1140200.0,59890.11637,-77024971.0,537291.6692
8.6,-454619.0,9126.44901,-1272480.0,68260.0909,-78084571.0,552411.6692
