time,Fx_local,Fy_local,Fz_local
598.900000,445444.025097,597471.967181,545147.768340
598.910000,465298.766409,677612.264479,550348.725869
598.920000,464897.889961,376892.464286,566958.547297
598.930000,391679.617761,486050.875483,452806.523166
598.940000,400584.999035,495030.538610,475672.135135
598.950000,360153.110039,556792.523166,419913.014479
598.960000,444246.767375,677180.693050,554542.581081
598.970000,344992.705598,316839.422780,337868.093629
598.980000,424078.016409,504273.871622,486762.078185
598.990000,457831.751931,689600.189189,494219.884170
599.000000,357381.813707,451860.657336,442475.206564
599.010000,427073.232625,699479.675676,487725.440154
599.020000,496956.495174,429319.491313,583730.745174
599.030000,359252.519305,528084.275097,375949.361004
599.040000,496258.644788,646951.355212,610940.157336
599.050000,379592.241313,533959.447876,444033.283784
599.060000,460164.110039,687956.319498,535509.390927
599.070000,468440.858108,542261.826255,478280.287645
599.080000,372051.098456,430372.636100,388652.325290
599.090000,360801.694981,573707.606178,519461.594595
599.100000,504863.061776,862658.490347,694849.184363
599.110000,343937.258687,701659.940154,471120.683398
599.120000,324473.111004,557459.985521,314291.892857
599.130000,525798.726834,912695.145753,553873.277027
599.140000,529337.551158,814252.198842,580056.555985
599.150000,454838.530888,804101.522201,667282.022201
599.160000,565516.190154,873466.039575,791077.181467
599.170000,381032.142857,567100.511583,372262.126448
599.180000,425117.501931,738783.370656,530146.210425
599.190000,463754.501931,495003.680502,693625.989382
599.200000,492332.449807,722454.101351,648084.613900
599.210000,548977.734556,776396.846525,634759.922780
599.220000,435451.274131,611567.409266,476822.122587
599.230000,321894.272201,531401.481660,398147.510618
599.240000,468634.696911,439111.190154,553967.050193
599.250000,387203.061776,497989.995174,422707.792471
599.260000,485989.945946,751930.798263,619253.892857
599.270000,488023.488417,689652.063707,631340.501931
599.280000,385516.219112,652076.496139,446666.606178
599.290000,487835.174710,474334.294402,570060.735521
599.300000,479420.913127,508860.929537,566059.951737
599.310000,471567.448842,682782.373552,566299.372587
599.320000,403417.685328,516957.191120,540791.843629
599.330000,424238.704633,617566.589768,443431.662162
599.340000,422489.858108,370144.479730,493960.665058
599.350000,484656.862934,484680.958494,523014.231660
599.360000,394369.572394,694782.883205,501343.268340
599.370000,554979.370656,820073.194981,651588.445946
599.380000,472990.161197,783497.209459,598885.777992
599.390000,409549.314672,659735.047297,515377.013514
599.400000,504414.915058,600009.214286,631098.165058
599.410000,410089.085907,502242.324324,556148.849421
599.420000,508946.261583,841819.054054,615758.348456
599.430000,398862.550193,655475.965251,584889.327220
599.440000,440615.704633,686518.720077,555901.294402
599.450000,526784.035714,793029.535714,544730.930502
599.460000,466565.548263,696625.656371,592139.942085
599.470000,441196.914093,802391.658301,645929.212355
599.480000,423178.346525,735430.557915,654544.986486
599.490000,501067.627413,892536.524131,662337.981660
599.500000,361752.011583,579567.431467,410832.057915
599.510000,394047.888996,660591.437259,507107.632239
599.520000,529341.694981,782413.830116,672748.798263
599.530000,330426.249035,514385.872587,361279.308880
599.540000,364170.162162,397873.864865,453524.632239
599.550000,471089.221042,606468.972973,533090.472973
599.560000,353559.214286,483927.703668,430093.465251
599.570000,413485.792471,611253.860039,482330.950772
599.580000,399629.464286,568891.256757,483992.316602
599.590000,396375.028958,431583.092664,473512.896718
599.600000,431932.708494,556214.690154,522696.845560
599.610000,346069.638996,447472.195946,443636.551158
599.620000,480731.281853,635061.194015,523017.608108
599.630000,439673.061776,373552.236486,475606.140927
599.640000,397297.720077,436508.102317,385369.497104
599.650000,493869.040541,591254.852317,577682.606178
599.660000,305678.420849,488172.666023,271696.314672
599.670000,421083.414093,564893.235521,525306.532819
599.680000,404027.441120,420250.812741,423400.578185
599.690000,321199.184363,357174.008687,364561.830116
599.700000,428172.726834,519142.366795,548033.403475
599.710000,445148.585907,706636.670849,603266.105212
599.720000,384586.928571,604487.918919,431543.342664
599.730000,385630.864865,437473.612934,349518.833977
599.740000,545370.000000,613390.691120,568858.259653
599.750000,365210.261583,495066.605212,447825.034749
599.760000,463913.348456,680711.383205,618765.075290
599.770000,387806.678571,671639.788610,521025.503861
599.780000,345206.342664,492024.886100,305912.009653
599.790000,412191.385135,715168.033784,438459.382239
599.800000,516974.840734,655114.838803,669209.206564
599.810000,431238.848456,799132.004826,581998.780888
599.820000,433570.285714,838837.036680,729990.639961
599.830000,442767.115830,597509.875483,385247.331081
599.840000,395662.444981,784070.131274,443070.075290
599.850000,483040.004826,512210.212355,662235.613900
599.860000,463110.521236,644203.233591,606862.022201
599.870000,538288.054054,791609.278958,733381.054054
599.880000,457179.023166,744996.802124,521135.084942
599.890000,386632.902510,674665.546332,424933.332046
599.900000,465146.826255,452442.941120,572105.328185
599.910000,473836.421815,566928.005792,540444.529923
599.920000,433758.292471,590869.016409,511755.926641
599.930000,540756.851351,789367.164093,654642.443050
599.940000,380693.423745,660562.737452,517660.106178
599.950000,493711.728764,506816.490347,544106.134170
599.960000,342175.520270,332888.907336,423000.469112
599.970000,377582.027027,603116.160232,422673.414093
599.980000,507297.173745,762649.945946,622400.742278
599.990000,331887.637066,589752.639961,464686.708494
600.000000,438187.271236,273965.901544,525235.473938
